Strategy,Environment,Seed,TimeSeconds
epsilon_greedy,static,0,0.02161693572998047
epsilon_greedy,static,1,0.02064800262451172
epsilon_greedy,static,2,0.021191835403442383
epsilon_greedy,static,3,0.020618915557861328
epsilon_greedy,static,4,0.02222275733947754
epsilon_greedy,static,5,0.02107691764831543
epsilon_greedy,static,6,0.02069401741027832
epsilon_greedy,static,7,0.021052837371826172
epsilon_greedy,static,8,0.020893096923828125
epsilon_greedy,static,9,0.021244049072265625
epsilon_greedy,static,10,0.021503925323486328
epsilon_greedy,static,11,0.021368741989135742
epsilon_greedy,static,12,0.022115230560302734
epsilon_greedy,static,13,0.021305084228515625
epsilon_greedy,static,14,0.021989107131958008
epsilon_greedy,static,15,0.37923622131347656
epsilon_greedy,static,16,0.021254777908325195
epsilon_greedy,static,17,0.02305889129638672
epsilon_greedy,static,18,0.020419836044311523
epsilon_greedy,static,19,0.02134394645690918
epsilon_greedy,dynamic,0,0.24427509307861328
epsilon_greedy,dynamic,1,0.24369096755981445
epsilon_greedy,dynamic,2,0.23259496688842773
epsilon_greedy,dynamic,3,0.24015498161315918
epsilon_greedy,dynamic,4,0.23715782165527344
epsilon_greedy,dynamic,5,0.24402880668640137
epsilon_greedy,dynamic,6,0.22704315185546875
epsilon_greedy,dynamic,7,0.23165416717529297
epsilon_greedy,dynamic,8,0.23272705078125
epsilon_greedy,dynamic,9,0.24338316917419434
epsilon_greedy,dynamic,10,0.2367408275604248
epsilon_greedy,dynamic,11,0.24138379096984863
epsilon_greedy,dynamic,12,0.2396249771118164
epsilon_greedy,dynamic,13,0.23078393936157227
epsilon_greedy,dynamic,14,0.23756623268127441
epsilon_greedy,dynamic,15,0.23691225051879883
epsilon_greedy,dynamic,16,0.23831987380981445
epsilon_greedy,dynamic,17,0.23134303092956543
epsilon_greedy,dynamic,18,0.2296891212463379
epsilon_greedy,dynamic,19,0.2399768829345703
decay_epsilon,static,0,0.038385868072509766
decay_epsilon,static,1,0.03338885307312012
decay_epsilon,static,2,0.040040016174316406
decay_epsilon,static,3,0.035977840423583984
decay_epsilon,static,4,0.03628206253051758
decay_epsilon,static,5,0.03934812545776367
decay_epsilon,static,6,0.03814196586608887
decay_epsilon,static,7,0.03553318977355957
decay_epsilon,static,8,0.03628802299499512
decay_epsilon,static,9,0.040743112564086914
decay_epsilon,static,10,0.038369178771972656
decay_epsilon,static,11,0.03881025314331055
decay_epsilon,static,12,0.04084897041320801
decay_epsilon,static,13,0.038342952728271484
decay_epsilon,static,14,0.03900408744812012
decay_epsilon,static,15,0.3499019145965576
decay_epsilon,static,16,0.040099143981933594
decay_epsilon,static,17,0.044931650161743164
decay_epsilon,static,18,0.035784006118774414
decay_epsilon,static,19,0.03810310363769531
decay_epsilon,dynamic,0,0.2363569736480713
decay_epsilon,dynamic,1,0.2397310733795166
decay_epsilon,dynamic,2,0.2506868839263916
decay_epsilon,dynamic,3,0.24544596672058105
decay_epsilon,dynamic,4,0.24515008926391602
decay_epsilon,dynamic,5,0.24059820175170898
decay_epsilon,dynamic,6,0.25090789794921875
decay_epsilon,dynamic,7,0.2476651668548584
decay_epsilon,dynamic,8,0.24716806411743164
decay_epsilon,dynamic,9,0.24239802360534668
decay_epsilon,dynamic,10,0.2494823932647705
decay_epsilon,dynamic,11,0.23296213150024414
decay_epsilon,dynamic,12,0.24963903427124023
decay_epsilon,dynamic,13,0.23501229286193848
decay_epsilon,dynamic,14,0.23531413078308105
decay_epsilon,dynamic,15,0.25165796279907227
decay_epsilon,dynamic,16,0.2426600456237793
decay_epsilon,dynamic,17,0.24521493911743164
decay_epsilon,dynamic,18,0.243927001953125
decay_epsilon,dynamic,19,0.23676204681396484
softmax,static,0,0.13289403915405273
softmax,static,1,0.12889695167541504
softmax,static,2,0.13839006423950195
softmax,static,3,0.12435293197631836
softmax,static,4,0.14871811866760254
softmax,static,5,0.12734270095825195
softmax,static,6,0.1324920654296875
softmax,static,7,0.12412786483764648
softmax,static,8,0.12189102172851562
softmax,static,9,0.12934303283691406
softmax,static,10,0.12636995315551758
softmax,static,11,0.1249551773071289
softmax,static,12,0.14715909957885742
softmax,static,13,0.12256002426147461
softmax,static,14,0.12237381935119629
softmax,static,15,1.7173609733581543
softmax,static,16,0.14879822731018066
softmax,static,17,0.1649012565612793
softmax,static,18,0.1251680850982666
softmax,static,19,0.131364107131958
softmax,dynamic,0,0.8767681121826172
softmax,dynamic,1,0.8459398746490479
softmax,dynamic,2,0.8676469326019287
softmax,dynamic,3,0.8592488765716553
softmax,dynamic,4,0.8409180641174316
softmax,dynamic,5,0.8316528797149658
softmax,dynamic,6,0.8483588695526123
softmax,dynamic,7,0.8957579135894775
softmax,dynamic,8,0.8722269535064697
softmax,dynamic,9,0.9271838665008545
softmax,dynamic,10,0.9115760326385498
softmax,dynamic,11,0.8565540313720703
softmax,dynamic,12,0.8402910232543945
softmax,dynamic,13,0.8532588481903076
softmax,dynamic,14,0.8978159427642822
softmax,dynamic,15,0.8858242034912109
softmax,dynamic,16,0.8414011001586914
softmax,dynamic,17,0.8725621700286865
softmax,dynamic,18,0.8420422077178955
softmax,dynamic,19,0.903270959854126
