Episode,MeanReward,StdReward,MeanSteps,StdSteps,MeanSuccess,StdSuccess
1,19.734999999999896,55.146389501036296,253.1,66.89985052300193,0.45,0.49749371855331004
2,31.34499999999993,55.667301668034966,237.1,72.27025667589676,0.55,0.49749371855331004
3,44.07999999999995,54.67729510500686,209.85,88.5286817929647,0.65,0.4769696007084728
4,43.95999999999994,54.69210546322025,211.05,94.02205858201576,0.65,0.47696960070847283
5,20.604999999999897,56.224794130347924,244.4,83.10439218236301,0.45,0.49749371855331
6,37.004999999999946,54.85554188047009,230.55,69.40639379768986,0.6,0.48989794855663565
7,21.704999999999906,57.31496728604152,233.4,84.68789760054266,0.45,0.49749371855331004
8,48.63999999999994,51.89670895153186,214.3,86.22766377445234,0.7,0.4582575694955839
9,38.58499999999994,56.26683992370646,214.75,88.58491688769595,0.6,0.48989794855663565
10,51.58499999999996,53.711863447473206,184.85,94.43054325799464,0.7,0.4582575694955839
11,45.79499999999996,55.9069000660921,192.7,97.04540174578084,0.65,0.4769696007084728
12,33.86999999999994,57.92880199002918,211.85,90.36054172037704,0.55,0.49749371855331
13,57.389999999999965,50.986595297195585,176.85,102.23271247501947,0.75,0.4330127018922193
14,51.45999999999996,53.66120945338456,186.1,95.51957914480151,0.7,0.4582575694955839
15,52.20999999999998,54.007239329556626,178.6,91.35173780503575,0.7,0.45825756949558394
16,57.09999999999993,50.850172074438504,179.75,102.53627406922878,0.75,0.4330127018922193
17,47.02499999999996,56.729277053387605,180.4,100.31021882141421,0.65,0.4769696007084728
18,51.99999999999998,53.8818986302451,180.7,90.85213261118308,0.7,0.45825756949558394
19,68.75999999999996,42.158277953445925,163.25,94.39749731852005,0.85,0.3570714214271425
20,66.28499999999997,48.42690651900043,137.95,96.49636003497749,0.8,0.4
21,81.44499999999996,26.51279832458283,136.5,79.57040907272,0.95,0.21794494717703372
22,82.07,26.44621144890137,130.25,73.16548024854343,0.95,0.21794494717703372
23,76.89999999999999,36.18684843973019,131.9,84.35099288093768,0.9,0.30000000000000004
24,82.80999999999999,26.795202928882663,122.85,80.43958913370953,0.95,0.21794494717703372
25,82.14999999999998,26.7505233593663,129.45,83.01775412524721,0.95,0.21794494717703372
26,83.59999999999997,26.956557643734893,114.95,80.9138276192642,0.95,0.21794494717703372
27,83.91,26.638184998231427,111.85,67.30845043529081,0.95,0.21794494717703372
28,79.26499999999997,36.764375079688264,108.25,81.20029248715795,0.9,0.3
29,82.39500000000001,26.266280189627192,127.0,63.87018083581727,0.95,0.21794494717703372
30,83.97,26.94988126133401,111.25,78.36253888178969,0.95,0.21794494717703372
31,83.43,26.593234101929045,116.65,69.07696794156502,0.95,0.21794494717703372
32,77.47499999999997,36.157113753727685,126.15,75.82102281029978,0.9,0.30000000000000004
33,80.38499999999998,36.98308092898702,97.05,77.22789327697603,0.9,0.3
34,87.08999999999999,27.026466657704294,80.05,58.574290435309585,0.95,0.21794494717703372
35,85.72999999999999,26.827879155833433,93.65,61.01497766942146,0.95,0.21794494717703372
36,85.28999999999999,27.180836999621665,98.05,77.90730068485237,0.95,0.21794494717703372
37,86.97,27.22605553509362,81.25,68.07266338259434,0.95,0.21794494717703372
38,86.61,27.019768688869302,84.85,62.251325287097295,0.95,0.21794494717703372
39,83.85499999999999,26.993378354700287,112.4,80.56326706384243,0.95,0.21794494717703372
40,86.4,26.87487674390344,86.95,57.485193745868166,0.95,0.21794494717703372
41,86.61,26.982270104644677,84.85,60.60303210236266,0.95,0.21794494717703372
42,85.12999999999998,27.040231138065405,99.65,73.94137880780963,0.95,0.21794494717703372
43,86.895,26.927596903548633,82.0,55.612049054139334,0.95,0.21794494717703372
44,86.96999999999998,27.338637493481674,81.25,72.44437521298669,0.95,0.21794494717703372
45,86.85,27.049685765272798,82.45,61.61775312359256,0.95,0.21794494717703372
46,87.275,27.191099187050195,78.2,64.33008627384235,0.95,0.21794494717703372
47,88.15,27.237336507081633,69.45,59.280245444836005,0.95,0.21794494717703372
48,86.94000000000001,27.126083388502696,81.55,64.19149086911754,0.95,0.21794494717703372
49,88.56499999999998,27.330628880433792,65.3,60.06504807290177,0.95,0.21794494717703372
50,88.425,27.24705259289529,66.7,57.374297381318755,0.95,0.21794494717703372
51,87.73499999999999,27.1357011149519,73.6,58.11144465593675,0.95,0.21794494717703372
52,86.8,27.00518468738923,82.95,60.0520399320456,0.95,0.21794494717703372
53,87.84500000000001,27.11944827978626,72.5,56.379517557354106,0.95,0.21794494717703372
54,88.24000000000001,27.270834237331314,68.55,60.05537028443001,0.95,0.21794494717703372
55,88.34499999999998,27.381352687550002,67.5,64.07456593688326,0.95,0.21794494717703372
56,89.26999999999997,27.43058694231682,58.25,58.7323377706013,0.95,0.21794494717703372
57,88.945,27.408857601147876,61.5,60.46197151929467,0.95,0.21794494717703372
58,87.99999999999999,27.217769930690533,70.95,59.64685658104708,0.95,0.21794494717703372
59,88.965,27.461614573801043,61.3,62.65069832013047,0.95,0.21794494717703372
60,88.73,27.353868099411496,63.65,59.74719658695293,0.95,0.21794494717703372
61,88.485,27.387210062363085,66.1,63.22570679715649,0.95,0.21794494717703372
62,89.25499999999998,27.435150354973487,58.4,59.07232854729869,0.95,0.21794494717703372
63,89.61000000000001,27.505415830341523,54.85,59.3315051216468,0.95,0.21794494717703372
64,89.07499999999999,27.39247843843273,60.2,58.61535634968024,0.95,0.21794494717703372
65,89.515,27.44622515028254,55.8,57.35904462244817,0.95,0.21794494717703372
66,89.71499999999999,27.511620726522125,53.8,58.73040098620134,0.95,0.21794494717703372
67,89.03499999999998,27.429150096202434,60.6,60.63695243001581,0.95,0.21794494717703372
68,88.93499999999999,27.393015076840335,61.6,59.823406790319126,0.95,0.21794494717703372
69,89.08999999999999,27.407533635845493,60.05,59.18823785178944,0.95,0.21794494717703372
70,88.725,27.28545170965659,63.7,56.576585262809914,0.95,0.21794494717703372
71,89.40999999999998,27.555886848366935,56.85,63.23232954747121,0.95,0.21794494717703372
72,89.50499999999998,27.523180684652015,55.9,61.01712874267356,0.95,0.21794494717703372
73,89.00999999999999,27.37038362902504,60.85,58.13628385096523,0.95,0.21794494717703372
74,89.835,27.523267883737965,52.6,58.251523585224795,0.95,0.21794494717703372
75,89.13499999999998,27.39650114521929,59.6,58.290136386870806,0.95,0.21794494717703372
76,89.30999999999999,27.45328577784455,57.85,59.44768708705159,0.95,0.21794494717703372
77,89.82,27.51931321817465,52.75,58.193534864278526,0.95,0.21794494717703372
78,89.00499999999998,27.39891375584079,60.9,59.50705840486488,0.95,0.21794494717703372
79,89.66,27.525940492560864,54.35,59.8592307000349,0.95,0.21794494717703372
80,89.735,27.506149766915797,53.6,58.30214404290807,0.95,0.21794494717703372
81,89.95499999999998,27.549273583889683,51.4,58.449465352559045,0.95,0.21794494717703372
82,89.215,27.407175611507324,58.8,58.10473302580436,0.95,0.21794494717703372
83,90.64999999999996,27.699611910638787,44.45,59.59234430696614,0.95,0.21794494717703372
84,89.32500000000002,27.439294360460543,57.7,58.670350263144,0.95,0.21794494717703372
85,90.58500000000001,27.70426456342059,45.1,60.349730736764684,0.95,0.21794494717703372
86,90.24499999999998,27.615149374935523,48.5,59.07156676439182,0.95,0.21794494717703372
87,90.24499999999999,27.640468067672114,48.5,60.24408684676032,0.95,0.21794494717703372
88,90.485,27.667241911690475,46.1,59.474280155374736,0.95,0.21794494717703372
89,90.12999999999998,27.60237489782359,49.65,59.44768708705159,0.95,0.21794494717703372
90,89.85,27.55333918057849,52.45,59.53022341634542,0.95,0.21794494717703372
91,90.41499999999999,27.643123466786488,46.8,58.93946046580338,0.95,0.21794494717703372
92,90.32,27.627822932688737,47.75,59.028700646380486,0.95,0.21794494717703372
93,90.64999999999999,27.69780677237824,44.45,59.5083817625719,0.95,0.21794494717703372
94,90.12500000000001,27.57892084545735,49.7,58.39186587188321,0.95,0.21794494717703372
95,90.78499999999998,27.719312311094622,43.1,59.37415262553226,0.95,0.21794494717703372
96,89.74499999999998,27.515204433185698,53.5,58.64256133560334,0.95,0.21794494717703372
97,90.57499999999999,27.682031627032035,45.2,59.40505029035832,0.95,0.21794494717703372
98,90.30000000000001,27.656048163105332,47.95,60.501632209387544,0.95,0.21794494717703372
99,90.19499999999996,27.606728799334444,49.0,59.10160742314882,0.95,0.21794494717703372
100,89.94,27.560722051499337,51.55,59.11385201456592,0.95,0.21794494717703372
101,90.71000000000001,27.70445632023848,43.85,59.31296232696526,0.95,0.21794494717703372
102,90.46000000000001,27.667822465817615,46.35,59.71120079181125,0.95,0.21794494717703372
103,90.965,27.77223928674103,41.3,60.32254968086146,0.95,0.21794494717703372
104,90.94499999999998,27.75792634546035,41.5,59.827669184082374,0.95,0.21794494717703372
105,90.64999999999999,27.68973636566448,44.45,59.13161168106278,0.95,0.21794494717703372
106,90.65499999999997,27.702066258674673,44.4,59.664394742593345,0.95,0.21794494717703372
107,90.945,27.759277278056107,41.5,59.890316412588774,0.95,0.21794494717703372
108,90.52499999999996,27.662210233457518,45.7,58.90084889031736,0.95,0.21794494717703372
109,90.74499999999999,27.71700696323472,43.5,59.60327172228048,0.95,0.21794494717703372
110,90.35499999999999,27.637374603967032,47.4,59.17888136827191,0.95,0.21794494717703372
111,90.94999999999999,27.770821017751743,41.45,60.381681824871364,0.95,0.21794494717703372
112,90.96,27.768622580171343,41.35,60.197404429094775,0.95,0.21794494717703372
113,91.12499999999997,27.801256716199035,39.7,60.33166664364578,0.95,0.21794494717703372
114,90.58500000000001,27.69003927407836,45.1,59.693299456471664,0.95,0.21794494717703372
115,90.97999999999999,27.76941843107273,41.15,60.067690982757114,0.95,0.21794494717703372
116,90.63000000000001,27.697637083332612,44.65,59.66847995382487,0.95,0.21794494717703372
117,91.255,27.825967638161337,38.4,60.39238362575202,0.95,0.21794494717703372
118,91.00999999999999,27.77216052092458,40.85,59.944370044233516,0.95,0.21794494717703372
119,90.78999999999999,27.748763936435115,43.05,60.69305973503066,0.95,0.21794494717703372
120,90.41,27.64367739646811,46.85,59.00785964598275,0.95,0.21794494717703372
121,91.19499999999996,27.820612412382328,39.0,60.64239441183041,0.95,0.21794494717703372
122,90.895,27.74915268976698,42.0,59.83895052555651,0.95,0.21794494717703372
123,91.12499999999999,27.798343026158985,39.7,60.19725907381499,0.95,0.21794494717703372
124,91.46999999999998,27.874057831611132,36.25,60.82670055164919,0.95,0.21794494717703372
125,91.05,27.783277344474712,40.45,60.12526507218076,0.95,0.21794494717703372
126,91.25500000000001,27.825662166424756,38.4,60.37830736282693,0.95,0.21794494717703372
127,90.77499999999999,27.754853179218976,43.2,61.09386221217317,0.95,0.21794494717703372
128,90.46999999999997,27.671864772725417,46.25,59.81460941943866,0.95,0.21794494717703372
129,91.20999999999997,27.817187133137704,38.85,60.36081096208035,0.95,0.21794494717703372
130,90.96499999999997,27.779637776616198,41.3,60.66226174484429,0.95,0.21794494717703372
131,91.285,27.83183923135519,38.1,60.414319494636366,0.95,0.21794494717703372
132,91.06499999999998,27.782031513192155,40.3,59.9425558347323,0.95,0.21794494717703372
133,90.81499999999997,27.759940111606902,42.8,60.99721305108947,0.95,0.21794494717703372
134,91.28,27.834611547496074,38.15,60.58322787702882,0.95,0.21794494717703372
135,91.12999999999997,27.799678055689817,39.65,60.217335543844854,0.95,0.21794494717703372
136,91.24499999999998,27.824530094864173,38.5,60.40902250492057,0.95,0.21794494717703372
137,91.24999999999997,27.82603996259622,38.45,60.43713676209355,0.95,0.21794494717703372
138,91.00999999999998,27.771116290131406,40.85,59.89597231867933,0.95,0.21794494717703372
139,91.53,27.88501568943439,35.65,60.83524882829034,0.95,0.21794494717703372
140,90.88499999999999,27.74650022975874,42.1,59.799581938337994,0.95,0.21794494717703372
141,91.30999999999999,27.84217843488548,37.85,60.68300833017426,0.95,0.21794494717703372
142,91.36999999999998,27.858214228482087,37.25,60.923620214166526,0.95,0.21794494717703372
143,91.29499999999999,27.83771677059744,38.0,60.601980165667854,0.95,0.21794494717703372
144,90.85499999999998,27.734986479174673,42.4,59.51588023376618,0.95,0.21794494717703372
145,91.47999999999999,27.87713399903229,36.15,60.88536359421696,0.95,0.21794494717703372
146,91.49000000000001,27.88323689961411,36.05,61.082301037207166,0.95,0.21794494717703372
147,91.475,27.873210704904483,36.2,60.74668715246947,0.95,0.21794494717703372
148,90.94499999999998,27.76649914915458,41.5,60.22416458532239,0.95,0.21794494717703372
149,91.22999999999999,27.822025447475994,38.65,60.4179402164622,0.95,0.21794494717703372
150,91.32999999999997,27.842918309688766,37.65,60.5518579401161,0.95,0.21794494717703372
151,91.08500000000001,27.790848763576868,40.1,60.183801807463105,0.95,0.21794494717703372
152,91.45999999999998,27.8688069353534,36.35,60.66817534754115,0.95,0.21794494717703372
153,91.38,27.85454361500116,37.15,60.67312007800489,0.95,0.21794494717703372
154,91.63,27.90725891233322,34.65,61.032184132636125,0.95,0.21794494717703372
155,91.52999999999999,27.88449569205084,35.65,60.81140929134928,0.95,0.21794494717703372
156,91.54,27.891493326819234,35.55,61.04954954788773,0.95,0.21794494717703372
157,91.57000000000001,27.895790004945226,35.25,60.99989754089756,0.95,0.21794494717703372
158,91.365,27.861986199838697,37.3,61.13681378678479,0.95,0.21794494717703372
159,91.38499999999999,27.859796750873862,37.1,60.87273609753384,0.95,0.21794494717703372
160,91.51999999999998,27.885921178974918,35.75,60.958900088502254,0.95,0.21794494717703372
161,91.29499999999999,27.837285697423912,38.0,60.58217559645741,0.95,0.21794494717703372
162,91.18500000000002,27.818973291622427,39.1,60.649732068657976,0.95,0.21794494717703372
163,91.6,27.90073475735006,34.95,60.97989422752388,0.95,0.21794494717703372
164,91.63499999999998,27.91075554333852,34.6,61.15096074470131,0.95,0.21794494717703372
165,91.57999999999998,27.89603197589223,35.15,60.928872466179776,0.95,0.21794494717703372
