Episode,MeanReward,StdReward,MeanSteps,StdSteps,MeanSuccess,StdSuccess
1,1.15680000000001,32.06889230640805,96.54,11.5673851842151,0.108,0.3103804117530627
2,3.069000000000012,34.42814864322507,95.436,14.125647029428457,0.126,0.33184936341659543
3,3.051800000000013,34.38148595916116,95.608,13.394265041427275,0.126,0.3318493634165953
4,4.908800000000002,36.359568239460806,95.056,14.784345234064348,0.144,0.3510897321198666
5,12.987200000000003,43.044810560159185,92.35,17.568821815932957,0.222,0.4155911452377201
6,10.925799999999997,41.60184989108058,92.944,16.739201414643393,0.202,0.4014922166119783
7,8.641800000000009,39.80030443049412,93.762,16.447655030429054,0.18,0.3841874542459717
8,9.288999999999996,40.36179256425547,93.296,16.596517225008423,0.186,0.38910666917954423
9,9.677200000000003,40.63980659599638,93.418,16.671270977343,0.19,0.39230090491866065
10,10.949999999999996,41.65045762053515,92.702,17.27000856977207,0.202,0.4014922166119779
11,13.0138,43.09290880829458,92.084,17.568749073283527,0.222,0.4155911452377201
12,13.016799999999998,43.101315499181815,92.054,18.28647270525398,0.222,0.4155911452377201
13,17.23980000000001,45.492811255845595,91.866,16.779870202120147,0.264,0.4407992740465876
14,15.088399999999995,44.414846903259814,91.358,18.71987809789377,0.242,0.4282942913464992
15,20.186999999999998,47.25151056844634,88.42,22.326567134246197,0.29,0.453762052181538
16,15.901000000000005,44.87481185475867,91.24,18.615756766782198,0.25,0.4330127018922193
17,14.487999999999996,44.07289071526829,91.356,18.866405699019666,0.236,0.4246221850068592
18,18.048199999999998,46.13275470595688,89.788,20.106691821381343,0.27,0.44395945760846256
19,19.886599999999998,47.0063553196798,89.422,20.378712324383986,0.288,0.4528310943387162
20,16.690800000000007,45.51626912830195,89.348,21.492577695567405,0.256,0.43642181430354615
21,22.438999999999997,48.186669723067524,87.922,21.772457739079407,0.312,0.46330983153824956
22,20.509800000000002,47.29362582801179,89.196,20.466205901436606,0.294,0.45559192266764464
23,24.309200000000015,48.90357119229646,87.238,22.25590609254094,0.33,0.47021271782035057
24,21.862199999999994,47.99916490065229,87.684,22.166193719265316,0.306,0.4608296865437378
25,28.70459999999998,50.30739705888205,85.326,23.47295729131724,0.372,0.4833383907781394
26,22.194199999999995,48.04802624832791,88.368,21.56517043753662,0.31,0.4624932431938897
27,28.45919999999999,50.20351755962904,85.778,23.13535640529443,0.37,0.48280430818293174
28,28.066200000000016,50.119246578135886,85.704,23.24031807011259,0.366,0.4817094560001896
29,26.735,49.858906877307476,85.002,24.12040621548486,0.352,0.47759396981117747
30,30.02899999999999,50.71990278973318,84.094,24.854399288657138,0.384,0.48635789291426285
31,29.177999999999994,50.489709010846845,84.596,24.16966660920261,0.376,0.4843800161030573
32,31.285000000000014,51.00807382169994,83.546,24.968858283870407,0.396,0.48906441293555813
33,33.16879999999999,51.38057129460523,82.726,25.327592147695356,0.414,0.49254847477177327
34,31.497,51.05637600731177,83.428,25.04557477879074,0.398,0.48948544411453176
35,32.3348,51.229309471824934,83.058,25.503384794963925,0.406,0.49108451411136766
36,34.2936,51.64872233695615,81.488,26.442576576423154,0.424,0.49419024676737755
37,33.29400000000001,51.52838212092444,81.474,26.33972900392109,0.414,0.49254847477177327
38,36.93500000000002,51.9122277984677,81.1,26.113253340018762,0.45,0.4974937185533093
39,37.15560000000002,52.15314437922225,78.894,27.567784894691833,0.45,0.49749371855330926
40,40.58259999999999,52.251489521735216,78.658,27.039028015074727,0.484,0.4997439344304242
41,39.06859999999999,52.131458391646916,79.784,26.833884251073272,0.47,0.4990991885387122
42,40.19220000000001,52.266769549686266,78.558,27.569741311807743,0.48,0.499599839871872
43,44.228799999999985,52.336034723314754,76.23,28.164820255062818,0.518,0.4996758949559231
44,44.94739999999999,52.189321639967666,77.052,27.8059938862109,0.526,0.49932354240512206
45,43.0738,52.254432669009134,77.77,26.83760607803912,0.508,0.4999359959034761
46,41.57759999999999,52.43279487343773,76.716,28.345640652488377,0.492,0.499935995903476
47,45.575800000000015,52.155234007336226,76.774,27.95294124059219,0.532,0.498974949271003
48,45.525600000000004,52.312341800382,75.274,28.177631625102887,0.53,0.49909918853871216
49,47.73919999999996,52.25292703150707,73.158,29.319499245382683,0.55,0.49749371855330926
50,53.104000000000035,51.55079537698712,69.56,29.863998392713647,0.6,0.489897948556634
51,51.25559999999999,51.73030976748532,72.028,29.60383785930468,0.584,0.4928934976239797
52,51.84319999999999,51.58267978459432,72.158,28.982288315452223,0.59,0.4918333050943175
53,50.88460000000001,51.83986750407445,71.734,29.70789868031736,0.58,0.49355850717012245
54,55.040600000000005,50.950203254157934,70.214,29.340896441656334,0.62,0.4853864439804644
55,52.29579999999997,51.53178361322262,71.636,29.177105819460554,0.594,0.49108451411136794
56,51.33380000000003,51.79923549204162,71.246,30.63817037618265,0.584,0.4928934976239796
57,57.19220000000003,50.646032412815885,66.716,31.019402702179853,0.638,0.4805788176771849
58,55.04119999999999,50.95273125711711,70.208,29.699911380339156,0.62,0.48538644398046443
59,58.45840000000002,50.26855428038475,66.066,30.983441448618926,0.65,0.4769696007084736
60,61.90840000000006,48.91285975528316,65.6,30.128723836233036,0.684,0.4649128950674532
61,59.78759999999997,49.67859505098753,66.788,30.084332400769647,0.664,0.4723388614120171
62,60.94820000000004,49.37721961350193,65.192,30.492673480690456,0.674,0.4687472666586952
63,61.05640000000004,49.454179793420884,64.11,31.37262979094997,0.674,0.46874726665869526
64,59.69860000000001,50.057632165734724,63.674,31.64249870032384,0.66,0.47370877129308
65,61.93019999999999,49.15427090253711,63.38,31.474681888781618,0.682,0.46569947390994537
66,65.02040000000002,47.97916322571705,60.506,30.96091025793651,0.71,0.453762052181538
67,66.32820000000004,47.168588538984345,61.442,30.958466305681274,0.724,0.44701677820860336
68,63.59419999999998,48.67262337659633,60.754,31.774478500834572,0.696,0.4599826083668814
69,66.63199999999996,47.349567009635855,58.404,31.469807498616902,0.724,0.4470167782086033
70,65.15460000000002,48.06564218690944,59.164,31.780892120895526,0.71,0.4537620521815379
71,71.31939999999996,44.736345890562,55.574,31.100747965282153,0.768,0.4221089906647339
72,69.48960000000004,45.93219667988893,55.854,31.723944962756494,0.75,0.4330127018922193
73,69.37859999999996,45.87263979803215,56.964,31.862245746337457,0.75,0.4330127018922193
74,70.9874,45.05237020668283,54.89,31.521514874764513,0.764,0.4246221850068595
75,69.51360000000001,46.187041202484494,53.612,32.375383488076224,0.748,0.43416126036301256
76,68.662,46.66267711994239,54.12,32.7733672362179,0.74,0.43863424398922574
77,72.23559999999995,44.47572745487133,52.418,31.724427118547034,0.774,0.41823916602824157
78,70.352,45.68656756640838,53.236,32.39568341615898,0.756,0.4294927240361578
79,73.82020000000001,43.516360279324836,50.586,31.695340414641397,0.788,0.40872484632084755
80,76.02980000000004,41.980290279606194,48.51,31.561335523073136,0.808,0.39387307600291727
81,74.56480000000005,43.111446287036145,49.146,31.552950480105626,0.794,0.40443046373882385
82,73.80400000000004,43.76093399368897,48.746,31.665588325499304,0.786,0.4101268096576959
83,74.84019999999998,42.985950774177354,48.394,31.52717500823691,0.796,0.40296898143653775
84,73.68300000000002,43.95944780135438,47.954,32.46678123867529,0.784,0.4115142767875724
85,75.9203999999999,42.192728565950816,47.602,31.543550783004726,0.806,0.3954288810898876
86,78.70620000000004,40.18458587020649,43.768,30.979899547932675,0.83,0.3756327994198581
87,76.90280000000007,41.846697267048405,43.784,31.540281292341067,0.812,0.390712170273719
88,77.72599999999996,41.13678456077968,43.56,31.455339769266544,0.82,0.38418745424597145
89,76.03119999999996,42.512255957076626,44.492,32.38780535942502,0.804,0.3969685126052187
90,76.95400000000001,41.868808007871394,43.272,31.419516482594027,0.812,0.3907121702737191
91,78.21059999999999,40.800034652436246,42.718,31.091196117229053,0.824,0.38082016753318115
92,77.06879999999998,41.92591115956814,42.124,32.14965978047049,0.812,0.3907121702737191
93,77.96420000000006,41.244684243669546,41.178,31.936723626571318,0.82,0.38418745424597134
94,79.50600000000004,39.961144177813516,39.774,30.874761926207665,0.834,0.37208063642173006
95,79.52700000000004,39.972877442085675,39.564,31.26099652922151,0.834,0.3720806364217301
